SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,state_Rural,state_Suburb,state_Urban,0
1860,2,1,1970,306891.0,0,1,0,1
2130,5,2,2001,272436.25,0,1,0,1
2095,2,3,2020,198208.8,0,1,0,1
2724,2,1,1993,343429.3,0,1,0,1
1466,5,3,1951,191113.77,0,1,0,1
2238,3,3,1987,253358.64,0,1,0,1
1330,2,2,1992,132172.39,0,1,0,1
2482,4,3,1989,231157.03,0,1,0,1
2396,2,2,1993,267377.4,0,1,0,1
1871,4,2,1977,172989.81,0,1,0,1
1769,4,1,1963,148310.62,0,1,0,1
2184,2,2,1959,347207.38,0,1,0,1
2337,3,3,2008,331851.1,0,1,0,1
2584,2,3,2001,415850.78,0,1,0,1
2082,4,2,1966,164855.98,0,1,0,1
1510,3,2,2002,156928.02,0,1,0,1
1975,3,3,2016,279764.38,0,1,0,1
2806,3,3,1962,366494.47,0,1,0,1
2590,5,2,1957,328501.8,0,1,0,1
2508,5,3,2007,352932.16,0,1,0,1
1646,4,3,1994,91423.62,0,1,0,1
1840,5,3,1961,216148.2,0,1,0,1
1166,2,2,1972,161587.16,0,1,0,1
1315,5,2,1989,98039.305,0,1,0,1
2369,5,1,1963,209700.72,0,1,0,1
1955,4,1,1995,197656.06,0,1,0,1
1775,4,2,1981,214171.08,0,1,0,1
2104,4,1,1954,202715.16,0,1,0,1
2585,2,1,1961,257776.1,0,1,0,1
2895,2,2,2021,266046.88,0,1,0,1
2021,5,1,1971,92641.625,0,1,0,1
1401,4,3,1982,149576.69,0,1,0,1
1161,4,2,2003,288571.12,0,1,0,1
1995,5,3,1965,221217.77,0,1,0,1
1269,3,2,1999,218784.64,0,1,0,1
2748,5,1,2020,255620.0,0,1,0,1
1719,4,1,1953,190659.44,0,1,0,1
1878,2,1,1964,128693.03,0,1,0,1
1187,5,3,1957,132828.81,0,1,0,1
1492,3,1,2019,53360.867,0,1,0,1
1064,4,2,1986,237384.34,0,1,0,1
2367,3,2,1995,221413.58,0,1,0,1
2086,2,1,2008,141074.03,0,1,0,1
1592,3,2,1950,245299.2,0,1,0,1
1418,5,3,1998,222904.27,0,1,0,1
1288,2,2,1959,115697.78,0,1,0,1
1378,4,3,1966,140714.77,0,1,0,1
2796,2,3,1969,178353.14,0,1,0,1
2513,3,1,2000,280022.03,0,1,0,1
2051,5,1,1953,185052.56,0,1,0,1
